DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0455357,4,5,2,1,1,5,1,0,60,0,0,-0.359133,0,0,-3.38472
UL,0.0457857,4,5,3,1,1,5,1,0,60,0,0,-0.359133,0,0,-3.38472
UL,0.0460357,4,6,0,1,1,5,1,0,60,0,0,-0.359133,0,0,-3.38472
UL,0.0655357,6,5,2,1,1,4,1,0,60,0,0,23.5726,0,0,0
UL,0.0655357,6,5,2,1,1,2,1,0,60,0,0,26.4555,0,0,-0.00711062
UL,0.0657857,6,5,3,1,1,4,1,0,60,0,0,23.5726,0,0,0
UL,0.0657857,6,5,3,1,1,2,1,0,60,0,0,26.4555,0,0,-0.00711062
UL,0.0658036,6,5,3,2,1,4,2,0,60,0,0,19.0377,0,0,0
UL,0.0660357,6,6,0,1,1,4,1,0,60,0,0,23.5726,0,0,0
UL,0.0660357,6,6,0,1,1,2,1,0,60,0,0,26.4555,0,0,-0.00711062
UL,0.0660536,6,6,0,2,1,4,2,0,60,0,0,19.0377,0,0,0
UL,0.0663036,6,6,1,2,1,4,2,0,60,0,0,19.0377,0,0,0
